uid,hotspot_0,hotspot_1,hotspot_2
8188,26,-1,-1
8201,26,20,-1
8205,26,-1,-1
8211,26,-1,-1
8222,26,-1,-1
8241,26,-1,-1
8249,26,-1,-1
8265,26,-1,-1
8317,26,4,-1
8319,26,-1,-1
8331,26,-1,-1
8338,26,-1,-1
8357,26,-1,-1
8368,26,-1,-1
8375,26,-1,-1
8387,26,-1,-1
8389,26,-1,-1
8392,26,-1,-1
8393,26,-1,-1
8394,26,-1,-1
8402,26,-1,-1
8412,26,-1,-1
8419,26,-1,-1
8423,26,-1,-1
8424,26,-1,-1
8427,26,-1,-1
8459,26,-1,-1
8475,26,-1,-1
8481,26,-1,-1
8482,26,-1,-1
8488,26,-1,-1
8514,26,-1,-1
8526,26,-1,-1
8530,26,-1,-1
8544,26,-1,-1
8558,26,-1,-1
8561,26,-1,-1
8587,26,-1,-1
8591,26,-1,-1
8594,26,-1,-1
8595,26,-1,-1
8603,26,-1,-1
8615,26,-1,-1
8632,26,-1,-1
8682,26,-1,-1
8695,26,-1,-1
8707,26,-1,-1
8719,26,-1,-1
8724,26,-1,-1
8739,26,8,-1
8747,26,-1,-1
8748,26,-1,-1
8758,26,-1,-1
8762,26,-1,-1
8764,26,-1,-1
8768,26,-1,-1
8771,26,-1,-1
8794,26,17,18
8800,26,-1,-1
8804,26,-1,-1
8808,26,-1,-1
8810,26,-1,-1
8813,26,13,12
8817,26,-1,-1
8819,26,-1,-1
8821,26,-1,-1
8844,26,-1,-1
8858,26,6,5
8885,26,-1,-1
8901,26,-1,-1
8923,26,-1,-1
8924,26,-1,-1
8925,26,-1,-1
8926,26,-1,-1
8930,26,4,-1
8943,26,-1,-1
8948,26,-1,-1
8961,26,-1,-1
8969,26,-1,-1
8973,26,-1,-1
8981,26,-1,-1
8982,26,-1,-1
8989,26,-1,-1
9009,26,-1,-1
9029,26,-1,-1
9044,26,-1,-1
9047,26,-1,-1
9058,26,-1,-1
9060,26,-1,-1
9061,26,-1,-1
9088,26,-1,-1
9098,26,-1,-1
9120,26,-1,-1
9125,26,-1,-1
9127,26,5,-1
9138,26,-1,-1
9159,26,-1,-1
9163,26,-1,-1
9169,26,-1,-1
9188,26,-1,-1
9190,26,-1,-1
9210,26,-1,-1
9215,26,-1,-1
9218,26,-1,-1
9219,26,-1,-1
9223,26,-1,-1
9248,26,-1,-1
9252,26,-1,-1
9269,26,-1,-1
9272,26,-1,-1
9277,26,-1,-1
9280,26,-1,-1
9281,26,-1,-1
